year,start,mid,end
1850,0,181,365
1851,365,546,730
1852,730,912,1096
1853,1096,1277,1461
1854,1461,1642,1826
1855,1826,2007,2191
1856,2191,2373,2557
1857,2557,2738,2922
1858,2922,3103,3287
1859,3287,3468,3652
1860,3652,3834,4018
1861,4018,4199,4383
1862,4383,4564,4748
1863,4748,4929,5113
1864,5113,5295,5479
1865,5479,5660,5844
1866,5844,6025,6209
1867,6209,6390,6574
1868,6574,6756,6940
1869,6940,7121,7305
1870,7305,7486,7670
1871,7670,7851,8035
1872,8035,8217,8401
1873,8401,8582,8766
1874,8766,8947,9131
1875,9131,9312,9496
1876,9496,9678,9862
1877,9862,10043,10227
1878,10227,10408,10592
1879,10592,10773,10957
1880,10957,11139,11323
1881,11323,11504,11688
1882,11688,11869,12053
1883,12053,12234,12418
1884,12418,12600,12784
1885,12784,12965,13149
1886,13149,13330,13514
1887,13514,13695,13879
1888,13879,14061,14245
1889,14245,14426,14610
1890,14610,14791,14975
1891,14975,15156,15340
1892,15340,15522,15706
1893,15706,15887,16071
1894,16071,16252,16436
1895,16436,16617,16801
1896,16801,16983,17167
1897,17167,17348,17532
1898,17532,17713,17897
1899,17897,18078,18262
1900,18262,18443,18627
1901,18627,18808,18992
1902,18992,19173,19357
1903,19357,19538,19722
1904,19722,19904,20088
1905,20088,20269,20453
1906,20453,20634,20818
1907,20818,20999,21183
1908,21183,21365,21549
1909,21549,21730,21914
1910,21914,22095,22279
1911,22279,22460,22644
1912,22644,22826,23010
1913,23010,23191,23375
1914,23375,23556,23740
1915,23740,23921,24105
1916,24105,24287,24471
1917,24471,24652,24836
1918,24836,25017,25201
1919,25201,25382,25566
1920,25566,25748,25932
1921,25932,26113,26297
1922,26297,26478,26662
1923,26662,26843,27027
1924,27027,27209,27393
1925,27393,27574,27758
1926,27758,27939,28123
1927,28123,28304,28488
1928,28488,28670,28854
1929,28854,29035,29219
1930,29219,29400,29584
1931,29584,29765,29949
1932,29949,30131,30315
1933,30315,30496,30680
1934,30680,30861,31045
1935,31045,31226,31410
1936,31410,31592,31776
1937,31776,31957,32141
1938,32141,32322,32506
1939,32506,32687,32871
1940,32871,33053,33237
1941,33237,33418,33602
1942,33602,33783,33967
1943,33967,34148,34332
1944,34332,34514,34698
1945,34698,34879,35063
1946,35063,35244,35428
1947,35428,35609,35793
1948,35793,35975,36159
1949,36159,36340,36524
1950,36524,36705,36889
1951,36889,37070,37254
1952,37254,37436,37620
1953,37620,37801,37985
1954,37985,38166,38350
1955,38350,38531,38715
1956,38715,38897,39081
1957,39081,39262,39446
1958,39446,39627,39811
1959,39811,39992,40176
1960,40176,40358,40542
1961,40542,40723,40907
1962,40907,41088,41272
1963,41272,41453,41637
1964,41637,41819,42003
1965,42003,42184,42368
1966,42368,42549,42733
1967,42733,42914,43098
1968,43098,43280,43464
1969,43464,43645,43829
1970,43829,44010,44194
1971,44194,44375,44559
1972,44559,44741,44925
1973,44925,45106,45290
1974,45290,45471,45655
1975,45655,45836,46020
1976,46020,46202,46386
1977,46386,46567,46751
1978,46751,46932,47116
1979,47116,47297,47481
1980,47481,47663,47847
1981,47847,48028,48212
1982,48212,48393,48577
1983,48577,48758,48942
1984,48942,49124,49308
1985,49308,49489,49673
1986,49673,49854,50038
1987,50038,50219,50403
1988,50403,50585,50769
1989,50769,50950,51134
1990,51134,51315,51499
1991,51499,51680,51864
1992,51864,52046,52230
1993,52230,52411,52595
1994,52595,52776,52960
1995,52960,53141,53325
1996,53325,53507,53691
1997,53691,53872,54056
1998,54056,54237,54421
1999,54421,54602,54786
2000,54786,54968,55152
2001,55152,55333,55517
2002,55517,55698,55882
2003,55882,56063,56247
2004,56247,56429,56613
2005,56613,56794,56978
2006,56978,57159,57343
2007,57343,57524,57708
2008,57708,57890,58074
2009,58074,58255,58439
2010,58439,58620,58804
2011,58804,58985,59169
2012,59169,59351,59535
2013,59535,59716,59900
2014,59900,60081,60265
2015,60265,60446,60630
2016,60630,60812,60996
2017,60996,61177,61361
2018,61361,61542,61726
2019,61726,61907,62091
2020,62091,62273,62457
2021,62457,62638,62822
2022,62822,63003,63187
2023,63187,63368,63552
2024,63552,63734,63918
2025,63918,64099,64283
2026,64283,64464,64648
2027,64648,64829,65013
2028,65013,65195,65379
2029,65379,65560,65744
2030,65744,65925,66109
2031,66109,66290,66474
2032,66474,66656,66840
2033,66840,67021,67205
2034,67205,67386,67570
2035,67570,67751,67935
2036,67935,68117,68301
2037,68301,68482,68666
2038,68666,68847,69031
2039,69031,69212,69396
2040,69396,69578,69762
2041,69762,69943,70127
2042,70127,70308,70492
2043,70492,70673,70857
2044,70857,71039,71223
2045,71223,71404,71588
2046,71588,71769,71953
2047,71953,72134,72318
2048,72318,72500,72684
2049,72684,72865,73049
2050,73049,73230,73414
2051,73414,73595,73779
2052,73779,73961,74145
2053,74145,74326,74510
2054,74510,74691,74875
2055,74875,75056,75240
2056,75240,75422,75606
2057,75606,75787,75971
2058,75971,76152,76336
2059,76336,76517,76701
2060,76701,76883,77067
2061,77067,77248,77432
2062,77432,77613,77797
2063,77797,77978,78162
2064,78162,78344,78528
2065,78528,78709,78893
2066,78893,79074,79258
2067,79258,79439,79623
2068,79623,79805,79989
2069,79989,80170,80354
2070,80354,80535,80719
2071,80719,80900,81084
2072,81084,81266,81450
2073,81450,81631,81815
2074,81815,81996,82180
2075,82180,82361,82545
2076,82545,82727,82911
2077,82911,83092,83276
2078,83276,83457,83641
2079,83641,83822,84006
2080,84006,84188,84372
2081,84372,84553,84737
2082,84737,84918,85102
2083,85102,85283,85467
2084,85467,85649,85833
2085,85833,86014,86198
2086,86198,86379,86563
2087,86563,86744,86928
2088,86928,87110,87294
2089,87294,87475,87659
2090,87659,87840,88024
2091,88024,88205,88389
2092,88389,88571,88755
2093,88755,88936,89120
2094,89120,89301,89485
2095,89485,89666,89850
2096,89850,90032,90216
2097,90216,90397,90581
2098,90581,90762,90946
2099,90946,91127,91311
2100,91311,91492,91676
2101,91676,91857,92041
2102,92041,92222,92406
2103,92406,92587,92771
2104,92771,92953,93137
2105,93137,93318,93502
2106,93502,93683,93867
2107,93867,94048,94232
2108,94232,94414,94598
2109,94598,94779,94963
2110,94963,95144,95328
2111,95328,95509,95693
2112,95693,95875,96059
2113,96059,96240,96424
2114,96424,96605,96789
2115,96789,96970,97154
2116,97154,97336,97520
2117,97520,97701,97885
2118,97885,98066,98250
2119,98250,98431,98615
2120,98615,98797,98981
2121,98981,99162,99346
2122,99346,99527,99711
2123,99711,99892,100076
2124,100076,100258,100442
2125,100442,100623,100807
2126,100807,100988,101172
2127,101172,101353,101537
2128,101537,101719,101903
2129,101903,102084,102268
2130,102268,102449,102633
2131,102633,102814,102998
2132,102998,103180,103364
2133,103364,103545,103729
2134,103729,103910,104094
2135,104094,104275,104459
2136,104459,104641,104825
2137,104825,105006,105190
2138,105190,105371,105555
2139,105555,105736,105920
2140,105920,106102,106286
2141,106286,106467,106651
2142,106651,106832,107016
2143,107016,107197,107381
2144,107381,107563,107747
2145,107747,107928,108112
2146,108112,108293,108477
2147,108477,108658,108842
2148,108842,109024,109208
2149,109208,109389,109573
2150,109573,109754,109938
2151,109938,110119,110303
2152,110303,110485,110669
2153,110669,110850,111034
2154,111034,111215,111399
2155,111399,111580,111764
2156,111764,111946,112130
2157,112130,112311,112495
2158,112495,112676,112860
2159,112860,113041,113225
2160,113225,113407,113591
2161,113591,113772,113956
2162,113956,114137,114321
2163,114321,114502,114686
2164,114686,114868,115052
2165,115052,115233,115417
2166,115417,115598,115782
2167,115782,115963,116147
2168,116147,116329,116513
2169,116513,116694,116878
2170,116878,117059,117243
2171,117243,117424,117608
2172,117608,117790,117974
2173,117974,118155,118339
2174,118339,118520,118704
2175,118704,118885,119069
2176,119069,119251,119435
2177,119435,119616,119800
2178,119800,119981,120165
2179,120165,120346,120530
2180,120530,120712,120896
2181,120896,121077,121261
2182,121261,121442,121626
2183,121626,121807,121991
2184,121991,122173,122357
2185,122357,122538,122722
2186,122722,122903,123087
2187,123087,123268,123452
2188,123452,123634,123818
2189,123818,123999,124183
2190,124183,124364,124548
2191,124548,124729,124913
2192,124913,125095,125279
2193,125279,125460,125644
2194,125644,125825,126009
2195,126009,126190,126374
2196,126374,126556,126740
2197,126740,126921,127105
2198,127105,127286,127470
2199,127470,127651,127835
2200,127835,128016,128200
2201,128200,128381,128565
2202,128565,128746,128930
2203,128930,129111,129295
2204,129295,129477,129661
2205,129661,129842,130026
2206,130026,130207,130391
2207,130391,130572,130756
2208,130756,130938,131122
2209,131122,131303,131487
2210,131487,131668,131852
2211,131852,132033,132217
2212,132217,132399,132583
2213,132583,132764,132948
2214,132948,133129,133313
2215,133313,133494,133678
2216,133678,133860,134044
2217,134044,134225,134409
2218,134409,134590,134774
2219,134774,134955,135139
2220,135139,135321,135505
2221,135505,135686,135870
2222,135870,136051,136235
2223,136235,136416,136600
2224,136600,136782,136966
2225,136966,137147,137331
2226,137331,137512,137696
2227,137696,137877,138061
2228,138061,138243,138427
2229,138427,138608,138792
2230,138792,138973,139157
2231,139157,139338,139522
2232,139522,139704,139888
2233,139888,140069,140253
2234,140253,140434,140618
2235,140618,140799,140983
2236,140983,141165,141349
2237,141349,141530,141714
2238,141714,141895,142079
2239,142079,142260,142444
2240,142444,142626,142810
2241,142810,142991,143175
2242,143175,143356,143540
2243,143540,143721,143905
2244,143905,144087,144271
2245,144271,144452,144636
2246,144636,144817,145001
2247,145001,145182,145366
2248,145366,145548,145732
2249,145732,145913,146097
2250,146097,146278,146462
2251,146462,146643,146827
2252,146827,147009,147193
2253,147193,147374,147558
2254,147558,147739,147923
2255,147923,148104,148288
2256,148288,148470,148654
2257,148654,148835,149019
2258,149019,149200,149384
2259,149384,149565,149749
2260,149749,149931,150115
2261,150115,150296,150480
2262,150480,150661,150845
2263,150845,151026,151210
2264,151210,151392,151576
2265,151576,151757,151941
2266,151941,152122,152306
2267,152306,152487,152671
2268,152671,152853,153037
2269,153037,153218,153402
2270,153402,153583,153767
2271,153767,153948,154132
2272,154132,154314,154498
2273,154498,154679,154863
2274,154863,155044,155228
2275,155228,155409,155593
2276,155593,155775,155959
2277,155959,156140,156324
2278,156324,156505,156689
2279,156689,156870,157054
2280,157054,157236,157420
2281,157420,157601,157785
2282,157785,157966,158150
2283,158150,158331,158515
2284,158515,158697,158881
2285,158881,159062,159246
2286,159246,159427,159611
2287,159611,159792,159976
2288,159976,160158,160342
2289,160342,160523,160707
2290,160707,160888,161072
2291,161072,161253,161437
2292,161437,161619,161803
2293,161803,161984,162168
2294,162168,162349,162533
2295,162533,162714,162898
2296,162898,163080,163264
2297,163264,163445,163629
2298,163629,163810,163994
2299,163994,164175,164359
2300,164359,164540,164724
